property_id,city,latitude,longitude,rooms,square_meters,floor_value,floor_count,building_type,build_year,centre_distance,listing_type,price
2177aa241bfc0aa265a36bae54875674,szczecin,53.447378,14.565296,2.0,30.2,1.0,3.0,blockOfFlats,1971.0,2.68,sale,389000
accf214c55203ca15462227c6f1e3163,szczecin,53.437221,14.566691,5.0,122.5,4.0,4.0,blockOfFlats,1992.0,1.58,sale,940000
5aafbeb3f2eecf91b49b578d9636cba9,szczecin,53.455554,14.561176,3.0,67.0,8.0,10.0,blockOfFlats,1987.0,3.58,sale,619000
60b9c3ebbfc72ce60a3308d9b714b7c9,szczecin,53.43087678,14.55465317,2.0,46.7,8.0,10.0,blockOfFlats,1967.0,0.93,sale,429000
51154b0aae3325ad93f0403e011c280f,szczecin,53.432131,14.50304,3.0,62.2,10.0,11.0,blockOfFlats,1977.0,3.96,sale,599000
accf01b37fbbaa34f162548ee79ecb87,szczecin,53.4250411,14.5515636,2.0,43.07,1.0,3.0,blockOfFlats,1970.0,0.65,sale,469000
67df6bd567454da2845107f88b587d2e,szczecin,53.4196764,14.5600333,3.0,63.0,3.0,5.0,apartmentBuilding,2024.0,0.42,sale,890000
92b153c3ad19e3de57e57413530d66e1,szczecin,53.4348359,14.5488644,4.0,74.86,3.0,4.0,tenement,1900.0,1.5,sale,549000
c5e1b9178a343181d8c4ccf1f15e2e34,szczecin,53.4198383,14.5504582,3.0,78.6,2.0,4.0,tenement,1929.0,0.8,sale,475000
5fbd61e54277b240d050e21c83704cf1,szczecin,53.4308373,14.5419351,3.0,72.44,3.0,4.0,tenement,1930.0,1.51,sale,690000
51577bf20c26037d61b16a052fe1af5d,szczecin,53.4438433,14.5055732,2.0,43.68,2.0,3.0,tenement,1935.0,4.32,sale,365000
46c134e3f8f4059e1bc94d58f436fae6,szczecin,53.4223727,14.5195649,2.0,26.0,3.0,4.0,blockOfFlats,1970.0,2.75,sale,349000
08a6abbfd14193d241374b30f7120f22,szczecin,53.3932827,14.4832796,2.0,31.0,3.0,4.0,apartmentBuilding,2023.0,6.14,sale,439000
e2c2f96f8601835989d1e31b282f2d70,szczecin,53.45152145,14.53832738,3.0,71.24,4.0,5.0,blockOfFlats,1994.0,3.47,sale,619000
de3efd0ec562d2effe52fc2d774d7ed7,szczecin,53.4545327,14.5426496,4.0,73.77,3.0,4.0,blockOfFlats,1990.0,3.67,sale,599000
647ea59a6d0f7e4be816813d47e72bec,szczecin,53.4246294,14.4876311,3.0,48.15,3.0,4.0,apartmentBuilding,2011.0,4.86,sale,637000
2d28ca8e5c85ee26d91908952394f8fe,szczecin,53.4546599,14.486451,2.0,42.0,8.0,10.0,blockOfFlats,1980.0,6.04,sale,449000
c388a3d23ff95b0547419b0c81f47c62,szczecin,53.4027245,14.5251563,1.0,26.68,3.0,4.0,blockOfFlats,1980.0,3.3,sale,330000
b19fded5d17c8c67a46a7a4decb5779d,szczecin,53.4240801,14.48198032,2.0,52.92,4.0,4.0,blockOfFlats,1987.0,5.23,sale,449000
fe179fab37daae57c4cd9900d1f92e29,szczecin,53.4041118,14.5235129,2.0,47.88,2.0,4.0,blockOfFlats,1969.0,3.28,sale,399000
6bc6c1000aed0474cc4b3a1601038bf0,szczecin,53.425594,14.540169,2.0,53.55,1.0,3.0,tenement,1910.0,1.4,sale,437000
c6c4817c51b85eb29bdbeede7f0a6515,szczecin,53.404167,14.503333,2.0,41.73,4.0,4.0,blockOfFlats,2023.0,4.38,sale,579000
e232e75572964906ba4e229d338c6b84,szczecin,53.4281122,14.5531989,2.0,36.71,6.0,10.0,blockOfFlats,1970.0,0.73,sale,459000
3caec5fc6c0ee2406ecb1e7539e3d521,szczecin,53.4295256,14.5531763,3.0,100.52,3.0,3.0,tenement,1920.0,0.85,sale,699000
782aeb586d347716121e4a99c8f03b02,szczecin,53.4551,14.5616,3.0,57.07,9.0,18.0,apartmentBuilding,2009.0,3.53,sale,650000
046162638a6f68f7c63142330e7dcf03,szczecin,53.4572067,14.5422931,1.0,32.0,4.0,10.0,blockOfFlats,2017.0,3.96,sale,449000
0665fc3b2ac634f4f93bd5662d22d7f9,szczecin,53.3980728,14.5247091,2.0,46.73,4.0,11.0,blockOfFlats,1980.0,3.7,sale,449000
dca4adb6b2dccf244dd2ca739b18965d,szczecin,53.418611,14.549722,3.0,70.18,2.0,4.0,blockOfFlats,2017.0,0.92,sale,769000
636da86f4fce4da371ac12d89bb133d7,szczecin,53.4583785,14.5328094,4.0,62.4,3.0,4.0,blockOfFlats,1976.0,4.31,sale,485000
